#    L    TT             EE             BB             TE          
     2   0.101533E+04   0.308617E-01   0.183710E-05   0.261830E+01
     3   0.961756E+03   0.396275E-01   0.367143E-05   0.293259E+01
     4   0.910877E+03   0.344417E-01   0.611640E-05   0.275153E+01
     5   0.872905E+03   0.230577E-01   0.917337E-05   0.234414E+01
     6   0.846919E+03   0.129304E-01   0.128436E-04   0.188907E+01
     7   0.830340E+03   0.698905E-02   0.171282E-04   0.148386E+01
     8   0.820616E+03   0.449746E-02   0.220280E-04   0.117179E+01
     9   0.816259E+03   0.360772E-02   0.275442E-04   0.962130E+00
    10   0.815698E+03   0.308545E-02   0.336779E-04   0.845395E+00
    11   0.818055E+03   0.260625E-02   0.404308E-04   0.801958E+00
    12   0.822817E+03   0.228111E-02   0.478041E-04   0.809969E+00
    13   0.829356E+03   0.219413E-02   0.557994E-04   0.849225E+00
    14   0.837289E+03   0.228907E-02   0.644183E-04   0.904308E+00
    15   0.846292E+03   0.247793E-02   0.736624E-04   0.965227E+00
    16   0.856396E+03   0.274052E-02   0.835333E-04   0.102765E+01
    17   0.867389E+03   0.311566E-02   0.940326E-04   0.108924E+01
    18   0.878686E+03   0.364411E-02   0.105162E-03   0.115080E+01
    19   0.891435E+03   0.433619E-02   0.116923E-03   0.121812E+01
    20   0.904272E+03   0.517535E-02   0.129317E-03   0.128781E+01
    21   0.917746E+03   0.614844E-02   0.142346E-03   0.136168E+01
    22   0.931680E+03   0.726001E-02   0.156011E-03   0.143724E+01
    23   0.945678E+03   0.850968E-02   0.170314E-03   0.151317E+01
    24   0.960095E+03   0.990110E-02   0.185256E-03   0.158795E+01
    25   0.975100E+03   0.114280E-01   0.200838E-03   0.165368E+01
    26   0.990213E+03   0.130929E-01   0.217062E-03   0.171341E+01
    27   0.100577E+04   0.149203E-01   0.233930E-03   0.176744E+01
    28   0.102153E+04   0.169170E-01   0.251441E-03   0.181083E+01
    29   0.103751E+04   0.190990E-01   0.269598E-03   0.184958E+01
    30   0.105401E+04   0.214823E-01   0.288401E-03   0.187775E+01
    31   0.107032E+04   0.240644E-01   0.307852E-03   0.190448E+01
    32   0.108715E+04   0.268684E-01   0.327950E-03   0.192336E+01
    33   0.110397E+04   0.298695E-01   0.348697E-03   0.193508E+01
    34   0.112082E+04   0.331029E-01   0.370094E-03   0.194289E+01
    35   0.113842E+04   0.365544E-01   0.392140E-03   0.193627E+01
    36   0.115594E+04   0.402294E-01   0.414837E-03   0.192355E+01
    37   0.117373E+04   0.441507E-01   0.438185E-03   0.189824E+01
    38   0.119168E+04   0.483117E-01   0.462185E-03   0.186223E+01
    39   0.120977E+04   0.527172E-01   0.486836E-03   0.181593E+01
    40   0.122804E+04   0.573774E-01   0.512138E-03   0.175840E+01
    41   0.124651E+04   0.623020E-01   0.538093E-03   0.168909E+01
    42   0.126517E+04   0.674977E-01   0.564699E-03   0.160900E+01
    43   0.128400E+04   0.729705E-01   0.591957E-03   0.151912E+01
    44   0.130303E+04   0.787241E-01   0.619867E-03   0.141885E+01
    45   0.132227E+04   0.847593E-01   0.648428E-03   0.130725E+01
    46   0.134169E+04   0.910753E-01   0.677641E-03   0.118386E+01
    47   0.136125E+04   0.976759E-01   0.707505E-03   0.104811E+01
    48   0.138096E+04   0.104559E+00   0.738019E-03   0.899409E+00
    49   0.140080E+04   0.111723E+00   0.769185E-03   0.737224E+00
    50   0.142086E+04   0.119175E+00   0.801000E-03   0.561169E+00
    51   0.144118E+04   0.126923E+00   0.833464E-03   0.371163E+00
    52   0.146173E+04   0.134971E+00   0.866578E-03   0.168137E+00
    53   0.148242E+04   0.143317E+00   0.900341E-03  -0.469341E-01
    54   0.150322E+04   0.151960E+00   0.934752E-03  -0.273932E+00
    55   0.152412E+04   0.160899E+00   0.969811E-03  -0.513108E+00
    56   0.154524E+04   0.170129E+00   0.100552E-02  -0.765359E+00
    57   0.156667E+04   0.179648E+00   0.104187E-02  -0.103159E+01
    58   0.158837E+04   0.189457E+00   0.107887E-02  -0.131205E+01
    59   0.161028E+04   0.199557E+00   0.111652E-02  -0.160667E+01
    60   0.163236E+04   0.209943E+00   0.115481E-02  -0.191499E+01
    61   0.165463E+04   0.220609E+00   0.119374E-02  -0.223653E+01
    62   0.167709E+04   0.231551E+00   0.123332E-02  -0.257114E+01
    63   0.169975E+04   0.242768E+00   0.127355E-02  -0.291874E+01
    64   0.172259E+04   0.254255E+00   0.131442E-02  -0.327927E+01
    65   0.174564E+04   0.266012E+00   0.135594E-02  -0.365271E+01
    66   0.176893E+04   0.278031E+00   0.139809E-02  -0.403918E+01
    67   0.179245E+04   0.290304E+00   0.144090E-02  -0.443842E+01
    68   0.181619E+04   0.302822E+00   0.148434E-02  -0.485009E+01
    69   0.184014E+04   0.315577E+00   0.152843E-02  -0.527388E+01
    70   0.186428E+04   0.328561E+00   0.157317E-02  -0.570967E+01
    71   0.188862E+04   0.341769E+00   0.161855E-02  -0.615750E+01
    72   0.191323E+04   0.355197E+00   0.166457E-02  -0.661792E+01
    73   0.193818E+04   0.368841E+00   0.171124E-02  -0.709138E+01
    74   0.196345E+04   0.382689E+00   0.175856E-02  -0.757724E+01
    75   0.198899E+04   0.396730E+00   0.180652E-02  -0.807456E+01
    76   0.201474E+04   0.410950E+00   0.185513E-02  -0.858244E+01
    77   0.204059E+04   0.425339E+00   0.190439E-02  -0.909970E+01
    78   0.206656E+04   0.439888E+00   0.195430E-02  -0.962633E+01
    79   0.209272E+04   0.454587E+00   0.200485E-02  -0.101626E+02
    80   0.211913E+04   0.469425E+00   0.205606E-02  -0.107089E+02
    81   0.214584E+04   0.484394E+00   0.210793E-02  -0.112654E+02
    82   0.217285E+04   0.499481E+00   0.216045E-02  -0.118315E+02
    83   0.220014E+04   0.514673E+00   0.221362E-02  -0.124070E+02
    84   0.222770E+04   0.529956E+00   0.226745E-02  -0.129911E+02
    85   0.225550E+04   0.545317E+00   0.232195E-02  -0.135834E+02
    86   0.228355E+04   0.560745E+00   0.237710E-02  -0.141832E+02
    87   0.231179E+04   0.576226E+00   0.243292E-02  -0.147902E+02
    88   0.234023E+04   0.591750E+00   0.248941E-02  -0.154037E+02
