#    L    TT             EE             TE             PP             TP          
     2   0.101533E+04   0.308599E-01   0.261831E+01   0.104210E+07   0.278715E+05
     3   0.961749E+03   0.396240E-01   0.293260E+01   0.160180E+07   0.332213E+05
     4   0.910866E+03   0.344357E-01   0.275154E+01   0.209945E+07   0.357095E+05
     5   0.872888E+03   0.230487E-01   0.234416E+01   0.253888E+07   0.366659E+05
     6   0.846895E+03   0.129176E-01   0.188909E+01   0.292660E+07   0.367682E+05
     7   0.830308E+03   0.697200E-02   0.148388E+01   0.327030E+07   0.363917E+05
     8   0.820575E+03   0.447550E-02   0.117181E+01   0.357627E+07   0.357482E+05
     9   0.816209E+03   0.358023E-02   0.962147E+00   0.384993E+07   0.349679E+05
    10   0.815637E+03   0.305183E-02   0.845413E+00   0.409496E+07   0.341170E+05
    11   0.817981E+03   0.256587E-02   0.801978E+00   0.431590E+07   0.332537E+05
    12   0.822731E+03   0.223334E-02   0.809994E+00   0.451375E+07   0.323778E+05
    13   0.829257E+03   0.213837E-02   0.849256E+00   0.469322E+07   0.315166E+05
    14   0.837175E+03   0.222468E-02   0.904347E+00   0.485445E+07   0.306460E+05
    15   0.846164E+03   0.240428E-02   0.965277E+00   0.500088E+07   0.297928E+05
    16   0.856251E+03   0.265699E-02   0.102771E+01   0.513306E+07   0.289488E+05
    17   0.867228E+03   0.302162E-02   0.108931E+01   0.525243E+07   0.281196E+05
    18   0.878507E+03   0.353893E-02   0.115089E+01   0.536070E+07   0.273167E+05
    19   0.891238E+03   0.421924E-02   0.121823E+01   0.545853E+07   0.265454E+05
    20   0.904057E+03   0.504601E-02   0.128794E+01   0.554646E+07   0.258085E+05
    21   0.917510E+03   0.600608E-02   0.136184E+01   0.562556E+07   0.251055E+05
    22   0.931424E+03   0.710399E-02   0.143743E+01   0.569693E+07   0.244346E+05
    23   0.945401E+03   0.833938E-02   0.151339E+01   0.576105E+07   0.237918E+05
    24   0.959797E+03   0.971588E-02   0.158822E+01   0.581834E+07   0.231728E+05
    25   0.974780E+03   0.112272E-01   0.165399E+01   0.586934E+07   0.225742E+05
    26   0.989871E+03   0.128760E-01   0.171377E+01   0.591461E+07   0.219935E+05
    27   0.100540E+04   0.146865E-01   0.176785E+01   0.595454E+07   0.214312E+05
    28   0.102114E+04   0.166657E-01   0.181128E+01   0.598949E+07   0.208886E+05
    29   0.103710E+04   0.188297E-01   0.185010E+01   0.601984E+07   0.203675E+05
    30   0.105357E+04   0.211942E-01   0.187833E+01   0.604596E+07   0.198686E+05
    31   0.106986E+04   0.237570E-01   0.190512E+01   0.606815E+07   0.193903E+05
    32   0.108666E+04   0.265411E-01   0.192407E+01   0.608672E+07   0.189303E+05
    33   0.110345E+04   0.295217E-01   0.193587E+01   0.610187E+07   0.184884E+05
    34   0.112028E+04   0.327339E-01   0.194376E+01   0.611381E+07   0.180640E+05
    35   0.113785E+04   0.361636E-01   0.193723E+01   0.612277E+07   0.176547E+05
    36   0.115534E+04   0.398161E-01   0.192459E+01   0.612895E+07   0.172582E+05
    37   0.117310E+04   0.437145E-01   0.189938E+01   0.613256E+07   0.168739E+05
    38   0.119103E+04   0.478519E-01   0.186346E+01   0.613379E+07   0.165017E+05
    39   0.120909E+04   0.522332E-01   0.181726E+01   0.613279E+07   0.161418E+05
    40   0.122733E+04   0.568687E-01   0.175983E+01   0.612969E+07   0.157946E+05
    41   0.124576E+04   0.617680E-01   0.169062E+01   0.612462E+07   0.154601E+05
    42   0.126439E+04   0.669379E-01   0.161064E+01   0.611771E+07   0.151378E+05
    43   0.128320E+04   0.723843E-01   0.152087E+01   0.610907E+07   0.148266E+05
    44   0.130219E+04   0.781108E-01   0.142070E+01   0.609881E+07   0.145259E+05
    45   0.132141E+04   0.841186E-01   0.130922E+01   0.608707E+07   0.142346E+05
    46   0.134079E+04   0.904066E-01   0.118594E+01   0.607395E+07   0.139522E+05
    47   0.136032E+04   0.969788E-01   0.105031E+01   0.605954E+07   0.136782E+05
    48   0.138000E+04   0.103833E+00   0.901715E+00   0.604392E+07   0.134124E+05
    49   0.139981E+04   0.110967E+00   0.739642E+00   0.602715E+07   0.131547E+05
    50   0.141983E+04   0.118389E+00   0.563697E+00   0.600933E+07   0.129049E+05
    51   0.144012E+04   0.126107E+00   0.373797E+00   0.599052E+07   0.126627E+05
    52   0.146064E+04   0.134125E+00   0.170874E+00   0.597079E+07   0.124279E+05
    53   0.148129E+04   0.142439E+00  -0.440957E-01   0.595020E+07   0.122003E+05
    54   0.150206E+04   0.151050E+00  -0.270996E+00   0.592881E+07   0.119795E+05
    55   0.152293E+04   0.159957E+00  -0.510079E+00   0.590667E+07   0.117655E+05
