#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.262440E-05   0.197876E+08   0.197876E+08   0.263827E+08   0.263826E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104472E+08   0.104472E+08   0.129325E+01
   0.269081E-05   0.197876E+08   0.197876E+08   0.263826E+08   0.263826E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104472E+08   0.104472E+08   0.132598E+01
   0.275889E-05   0.197876E+08   0.197876E+08   0.263826E+08   0.263825E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104472E+08   0.104472E+08   0.135953E+01
   0.282870E-05   0.197876E+08   0.197876E+08   0.263825E+08   0.263825E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104472E+08   0.104472E+08   0.139393E+01
   0.290028E-05   0.197876E+08   0.197876E+08   0.263825E+08   0.263824E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104472E+08   0.104472E+08   0.142920E+01
   0.297367E-05   0.197876E+08   0.197876E+08   0.263824E+08   0.263824E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104472E+08   0.104472E+08   0.146536E+01
   0.304891E-05   0.197876E+08   0.197876E+08   0.263824E+08   0.263823E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104472E+08   0.104472E+08   0.150244E+01
   0.312606E-05   0.197876E+08   0.197876E+08   0.263823E+08   0.263823E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104472E+08   0.104472E+08   0.154046E+01
   0.320516E-05   0.197876E+08   0.197876E+08   0.263822E+08   0.263822E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104472E+08   0.104472E+08   0.157944E+01
   0.328626E-05   0.197876E+08   0.197876E+08   0.263822E+08   0.263821E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104472E+08   0.104472E+08   0.161940E+01
   0.336942E-05   0.197876E+08   0.197876E+08   0.263821E+08   0.263821E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104472E+08   0.104472E+08   0.166037E+01
   0.345468E-05   0.197876E+08   0.197876E+08   0.263820E+08   0.263820E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104472E+08   0.104472E+08   0.170239E+01
   0.354209E-05   0.197876E+08   0.197876E+08   0.263819E+08   0.263819E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104472E+08   0.104472E+08   0.174546E+01
   0.363172E-05   0.197876E+08   0.197876E+08   0.263819E+08   0.263818E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104472E+08   0.104472E+08   0.178963E+01
   0.372361E-05   0.197876E+08   0.197876E+08   0.263818E+08   0.263817E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104472E+08   0.104472E+08   0.183491E+01
   0.381784E-05   0.197876E+08   0.197876E+08   0.263817E+08   0.263817E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104472E+08   0.104472E+08   0.188134E+01
   0.391444E-05   0.197876E+08   0.197876E+08   0.263816E+08   0.263816E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104472E+08   0.104472E+08   0.192894E+01
   0.401349E-05   0.197876E+08   0.197876E+08   0.263815E+08   0.263815E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104472E+08   0.104472E+08   0.197775E+01
   0.411504E-05   0.197876E+08   0.197876E+08   0.263814E+08   0.263814E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104472E+08   0.104472E+08   0.202779E+01
   0.421917E-05   0.197876E+08   0.197876E+08   0.263813E+08   0.263812E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104472E+08   0.104472E+08   0.207910E+01
